topic,word,score
gaza,operation,0.18948594773634322
gaza,attacks,0.1488473594091173
gaza,civilian,0.1402320197259233
gaza,targeted,0.1369859711932302
gaza,forces,0.13150899437956962
gaza,conflict,0.12480655348774279
gaza,military operation,0.1239686602936511
gaza,officials,0.11193245383890568
gaza,militants,0.10594817104817034
gaza,international,0.10231931547546744
gaza,areas,0.09888279027826716
gaza,infrastructure,0.09888279027826716
gaza,israeli military,0.09888279027826716
gaza,using,0.09618580284708791
gaza,using civilian,0.09618580284708791
gaza,attacks gaza,0.09614430187143685
gaza,stated,0.09285011844840889
gaza,response,0.09097947981761526
gaza,launched,0.09080623845264353
gaza,strikes,0.09080623845264353
gaza,targeted strikes,0.09080623845264353
gaza,weapons,0.09080623845264353
gaza,israeli forces,0.08806775004581324
gaza,ongoing,0.08806775004581324
gaza,casualties,0.08552714102723635
gaza,officials reported,0.08424591813883502
gaza,reported,0.08424591813883502
gaza,hours,0.07083337201005985
gaza,lasted,0.07083337201005985
gaza,lasted hours,0.07083337201005985
gaza,operation lasted,0.07083337201005985
gaza,accused,0.07002313868748777
gaza,accused launching,0.07002313868748777
gaza,controlling gaza,0.07002313868748777
gaza,damage,0.07002313868748777
gaza,damage infrastructure,0.07002313868748777
gaza,escalated,0.07002313868748777
gaza,following,0.07002313868748777
gaza,aggression,0.05929234743883995
gaza,aggression gaza,0.05929234743883995
gaza,analysts,0.05929234743883995
gaza,analysts noted,0.05929234743883995
gaza,depots,0.05929234743883995
gaza,depots military,0.05929234743883995
gaza,efforts,0.05929234743883995
gaza,efforts ensure,0.05929234743883995
gaza,ensure,0.05929234743883995
gaza,ensure israeli,0.05929234743883995
gaza,focused hamas,0.05929234743883995
gaza,weapons depots,0.05929234743883995
ukraine,ukraine,0.1403268727242837
ukraine,international,0.13663758888175812
ukraine,resistance,0.13259958230773233
ukraine,support,0.12739752919554403
ukraine,civilians,0.12428674369207404
ukraine,people,0.12428674369207404
ukraine,president,0.12400993503166796
ukraine,president zelensky,0.12400993503166796
ukraine,zelensky,0.12400993503166796
ukraine,forces,0.12365085626232371
ukraine,community,0.11964254950370018
ukraine,support ukraine,0.11643525762208569
ukraine,world,0.10856608041677974
ukraine,crimes,0.10637205734446203
ukraine,war,0.10637205734446203
ukraine,war crimes,0.10637205734446203
ukraine,international community,0.10512308237410098
ukraine,aggression,0.10324691688118554
ukraine,fight,0.10324691688118554
ukraine,fight freedom,0.10324691688118554
ukraine,freedom,0.10324691688118554
ukraine,heroic,0.10324691688118554
ukraine,heroic resistance,0.10324691688118554
ukraine,invasion,0.10324691688118554
ukraine,resistance russian,0.10324691688118554
ukraine,families,0.10172953589121114
ukraine,resilience,0.10172953589121114
ukraine,civilian,0.08420974568496616
ukraine,continued,0.08420974568496616
ukraine,global,0.08420974568496616
ukraine,shown,0.08420974568496616
ukraine,civilian infrastructure,0.0631194069586831
ukraine,committed,0.0631194069586831
ukraine,committed invading,0.0631194069586831
ukraine,community stands,0.0631194069586831
ukraine,continued russian,0.0631194069586831
ukraine,crimes committed,0.0631194069586831
ukraine,incredible,0.0631194069586831
ukraine,invading forces,0.0631194069586831
ukraine,numerous,0.0631194069586831
ukraine,observers,0.0631194069586831
ukraine,observers documented,0.0631194069586831
ukraine,remains,0.0631194069586831
ukraine,remains unbroken,0.0631194069586831
ukraine,resilience face,0.0631194069586831
ukraine,right,0.0631194069586831
ukraine,right selfdetermination,0.0631194069586831
ukraine,russian attacks,0.0631194069586831
ukraine,stands united,0.0631194069586831
ukraine,ukrainian families,0.0631194069586831
